genre,duration,star_rating
Action,126.48529411764706,7.88455882352942
Adventure,134.84,7.933333333333332
Animation,96.59677419354838,7.914516129032259
Biography,131.84415584415584,7.862337662337664
Comedy,107.6025641025641,7.82243589743591
Crime,122.29838709677419,7.916935483870971
Drama,126.53956834532374,7.902517985611515
Family,107.5,7.85
Fantasy,112.0,7.7
Film-Noir,97.33333333333333,8.033333333333333
History,66.0,8.0
Horror,102.51724137931035,7.8068965517241375
Mystery,115.625,7.975
Sci-Fi,109.0,7.92
Thriller,114.2,7.68
Western,136.66666666666666,8.255555555555555
